"","user_id","name","screen_name","location","field"
"1",1223358857663209472,"Claire O��Neill","ClaireClimate","Cambridge ","NGO officer"
"2",1195025771368239104,"COP26","COP26","Glasgow, Scotland ","organisation"
"3",1134059457191776256,"Vanessa Nakate","vanessa_vash","Planet Earth <U+0001F30D> ","social activist"
"4",1.100423496814e+18,"Leah Namugerwa","NamugerwaLeah","Kampala, Uganda","environmentalist"
"5",1071817859414806528,"Alexandria Villase<U+00F1>or","AlexandriaV2005","Manhattan, NY","environmentalist"
"6",1036574230207504384,"Dave Vetter","DavidRVetter","UK","writer and journalist"
"7",1006419421244678144,"Greta Thunberg","GretaThunberg","Sverige","environmentalist"
"8",998962318062112768,"Mothers of Invention","MothersInvent","London, England","organisation"
"9",987274804096126976,"Chris Stark","ChiefExecCCC","UK","NGO officer"
"10",980593492283060224,"Mikaela Loach","mikaelaloach","Edinburgh","actor, singer and host "
"11",968153220995473408,"Haven Coleman","havenruthie","Denver, CO","environmentalist"
"12",912278708349698048,"Mary Anna<U+00EF>se Heglar","MaryHeglar","Harlem","environmentalist"
"13",9.10932695773e+17,"Pia Heidenmark Cook","PiaHCook","Sverige","NGO officer"
"14",895489494400368640,"Jerome Foster II","JeromeFosterII","New York City (he/him)","social activist"
"15",881615056437297152,"Peter Kalmus","ClimateHuman","Colonized Hahamog'na land, CA","scientist"
"16",870629200348274688,"<U+0001F4A7>simon holmes �� court <U+0001F56F>","simonahac","melbourne, australia","environmentalist"
"17",854763921298817024,"Helen Clark","HelenClarkUNDP","","NGO officer"
"18",836408868355846144,"isra hirsi","israhirsi","mpls","environmentalist"
"19",830128820447539200,"Rick Perry","SecretaryPerry","Washington, DC","politician"
"20",821769014691168256,"Ernest Moniz","ErnestMoniz","Boston, MA","scientist"
"21",816592081200279552,"Dr. Robert Rohde","RARohde","Zurich, Switzerland","scientist"
"22",811229675758505984,"Ant��nio Guterres","antonioguterres","","NGO officer"
"23",810585618031984640,"Jamie Margolin","Jamie_Margolin","New York, USA","environmentalist"
"24",780758635588706304,"Abi Kay","FGAbiKay","Preston, England","actor, singer and host "
"25",4516023204,"<U+0001F4A7> Tim Buckley","TimBuckleyIEEFA","Pymble, Sydney","scientist"
"26",4329166468,"Vic J. Barrett","vict_barrett","New York, USA","environmentalist"
"27",3232924232,"Achim Steiner","ASteiner","New York, USA","NGO officer"
"28",3066095291,"Amina J Mohammed","AminaJMohammed","New York, NY","NGO officer"
"29",3053663748,"Stephen Cornelius","SteveJCornelius","London","scientist"
"30",3028252336,"Paul Polman <U+0001F637>","PaulPolman","","businessman"
"31",2794535639,"Mustafa Santiago Ali","EJinAction","","NGO officer"
"32",2600187422,"The Climate Museum","ClimateMuseum","New York, USA","organisation"
"33",2479372884,"ClimateRealityAfrica","AfricaCRP","Africa","organisation"
"34",2474749586,"Michael Shellenberger","ShellenbergerMD","Berkeley, CA","scientist"
"35",2469606308,"We Mean Business","WMBtweets","","organisation"
"36",2447926526,"Mary Nichols","MaryNicholsCA","Los Angeles ","politician"
"37",2438273430,"Miguel Arias Ca<U+00F1>ete","MAC_europa","Brussels (mostly)","politician"
"38",2354013972,"Kate Marvel","DrKateMarvel","New York City","scientist"
"39",2178901645,"Pep Canadell","pepcanadell","Australia","scientist"
"40",1943695962,"Emma Pinchbeck","ELPinchbeck","London, England","scientist"
"41",1731554581,"Alok Sharma","AlokSharma_RDG","","NGO officer"
"42",1596123433,"Ibrahim Thiaw","ibrahimthiaw","Bonn, Germany","NGO officer"
"43",1346859277,"Jason Bordoff","JasonBordoff","New York, NY","scientist"
"44",1183947482,"peter burton","peteswildlife","","environmentalist"
"45",1182675871,"Lisa P. Jackson","lisapjackson","Cupertino, CA","politician"
"46",1138126849,"Robbie Andrew","robbie_andrew","Oslo, Norway","scientist"
"47",1077214808,"Governor Jay Inslee","GovInslee","Olympia, WA","politician"
"48",989633635,"Gavin Schmidt","ClimateOfGavin","New York, NY","scientist"
"49",950477244,"Paul Dawson","PaulEDawson","Glasgow, Scotland","actor, singer and host "
"50",949934436,"Tom Steyer","TomSteyer","San Francisco, CA","businessman"
"51",942696282,"Fatima-Zahra Ibrahim","fortuashla","London","environmentalist"
"52",932432480,"Prof Alastair Driver","AliDriverUK","UK","scientist"
"53",917421961,"Glen Peters","Peters_Glen","Oslo, Norway","scientist"
"54",813477602,"Kevin Anderson","KevinClimate","Uppsala & Manchester ","scientist"
"55",764204616,"Justin Gillis","JustinHGillis","San Francisco, CA","writer and journalist"
"56",637196658,"Kate Aronoff","KateAronoff","Brooklyn, NY","writer and journalist"
"57",610076827,"Chris Fox","ChristopherNFox","Boston, MA","NGO officer"
"58",604840570,"Kate Raworth","KateRaworth","Oxford UK","scientist"
"59",596893898,"Global Citizen","GlblCtzn","Worldwide","organisation"
"60",566688127,"dominic dyer","domdyer70","UK","environmentalist"
"61",558739638,"Mohamed Nasheed","MohamedNasheed","Maldives","politician"
"62",526871737,"Simon Evans","DrSimEvans","London","writer and journalist"
"63",510592186,"Mindy Lubber","MindyLubber","","NGO officer"
"64",495650403,"Peter Hannam","p_hannam","Sydney, Australia","writer and journalist"
"65",480196886,"Brent Toderian","BrentToderian","Vancouver, British Columbia","scientist"
"66",479816451,"Mark Tercek","MarkTercek","Washington, DC","NGO officer"
