"","x"
"1","@AOC Tell Joe to be decent and go visit the people like ALL Presidents do"
"2","@MohamedNasheed @Rosy_Senanayake #KKBK"
"3","No, your honor, I didnt steal that wallet. It was the sun that made it disappear!"
"4","@AdamBandt You mean the beginning of the end for our economy. An appropriate transition will take decades."
"5","@AMNH Some religions will deny it to their last breath. Do people who burned witches still exist among us? Well, yes."
"6","@Stphn_Lacey @TheEnergyGang Direct all federal agencies procurement to focus on electrification, both vehicles and buildings."
"7","@ZaidJilani @JackPosobiec Posse Comitatus Act, 18 U.S.C 1385."
"8","@CarolineLucas Keep feeding them the rope @CarolineLucas and eventually @10DowningStreet will bring itself down...."
"9","@JerryBrownGov We will vote this coming November to abolish your over taxation regarding the gas tax.  This should have NEVER been forced down our throats and our votes will undo this damage.  You need to be accountable for the prior gas taxes and not take from these funds!"
"10","@SenSchumer @SenMarkey @dscc ss, $15 per hour,  ACA Reform (add public option), Media Ownership Resolution (Sponsored by Rep Val Demmings), etc. Mitch McConnell killed the filibuster to pass 2 @Scotus Justices and a 2 trillion tax bill...so Democrats do the same. Arizona challenged section 2 of the 1965 voti"
"11","@antonioguterres ? What is making #racism so aggressive. Blatant, intimitading &amp; also inviting?
Is it due to:
-Defective governance?
-Over loads of Political tasks/(solutions)?
- Choices/omission of deliveries?
- Blindsided society(Minority groups- from kids to elders)? I dont know but, its sad."
"12","@GovInslee Yaaayyy!! Giving other countries money for shit we dont need!! Pandering idiot."
"13","@algore @drvox @algore please run for POTUS in 2020.... please."
"14","@cathmckenna @ZannLenore Catherine can you be more stupid,keep this fake racism going."
"15","@MikeBloomberg Trying to stop the climate from changing is silly, its like having tar on your hands and asking if u could help clean the house. The world will change through its cycles regardless of ur efforts to stop it. Smart men who think they can are not intelligent but foolish to do so."
"16","@GretaThunberg #brazil #ClimateEmergency"
"17","@emorwee @mehdirhasan Great job ..."
"18","@ZaneNeutron @GretaThunberg Considering how you spelled ""their"" as ""there"", I'd say you're not one to talk."
"19","@SenSanders Socialism sucks, and its illegal."
"20","@Mac12Billy @1GarethWynJones @Evsthetractor @GeorgeMonbiot @GHGGuru @fleroy1974 @BangorUni land unsuitable for crops. And guess, which nation (as you have a cheetah as avatar) in the world has most cheetah &amp; numbers rising? Yep Namibia. Contrast W Africa plantation crops, where leopard have vanished &amp; lion down to 400.
Now, in Africa, https://t.co/6709k6LZFK"
"21","@LeoDiCaprio "
"22","@MikeHudema Would be great to see more #trees planted in #Irish #cities. Maybe a campaign for #fruit trees in #urban #gardens @pippa_hackett?"
"23","@BSc89937963 @Mark_Butler_MP What on Earth are you talking about?? Please get your head deep out of the sand, open your eyes, look around you, and see what damage global warming is doing to our beautiful planet now!! Who cares what happened in the medieval ages!!"
"24","@QueenTSays @HappyMerlot @ShellenbergerMD @JoeBiden @pwrhungry It would take solar panels to cover the entire state of texas. Let that sink in."
"25","@AlokSharma_RDG @IEA @COP26 Wait - the UK doesnt have ANY 2030 emissions reduction targets written into law. There is no National Energy and Climate Plan as with EU states. Just some offshore wind target for 2030 and a vague net zero goal for 2050. How can the UK lead the world on 2030 targets? "
"26","@algore I am watching 24 hours of reality https://t.co/wL7SbLqhO5"
"27","@CarolineLucas @AndrewSimms_uk Caroline, you are a huge brain. It could be the
 Tanqueray but do you mean that debt is made more expensive to carbon than renewable? If so, how does one drive that?"
"28","@sentientism @LJ_Consultancy @sandlwise01 @GeorgeMonbiot @OurWorldInData True. There are more overweight people in the world than undernourished. And there is also almost the same amount of obese people than undernourished people. There is a lot of resources, but not everyone gets a part of it sadly."
"29","@simonahac Since it's referring to a report of the National Academy, it implies-in my interpretation--the endorsement of such geoengineering schemes by the scientists who wrote that report. And of course, there was no such endorsement."
"30","@PaulEDawson @fossiltreaty Not only do we have to ""stop burning things"", we (especially  in rich nations) have to do that very fast. Here is a policy framework proposal that can spur debate on how much faster those nations can do so than they are presently contemplating. https://t.co/XSYEBXUKrO"
"31","@AssaadRazzouk @G7"
"32","@NYGovCuomo https://t.co/GujCM0ZjUl"
"33","@GretaThunberg Spoiled child."
"34","@MikeHudema Remove:

Coal: 820g CO2 kW/h
Oil: 650g
Gas: 490g
Marginal emissions,
Green hydrogen: 550g
Electric car: 550g

Reduce! Not produce"
"35","@GretaThunberg @NilsMelzer Those stupid bastards!! It's good to talk with A fellow autistic! I'm the same as you, only I just found that out as an adult."
