"","score1","score2","score3","score4","mean"
"1",-0.25,0,-0.5,-0.4,-0.2875
"2",0,0,0,0,0
"3",-0.25,-0.5,-0.5,0.3,-0.2375
"4",0,-0.1,0,0,-0.025
"5",-0.25,0,-0.6,-0.3,-0.2875
"6",0,0.5,0,0,0.125
"7",0,0,0,0,0
"8",0,-0.1,-0.2,0,-0.075
"9",-0.75,-0.5,-0.8,-0.1,-0.5375
"10",0,0,0,0,0
"11",-0.5,-0.3,-1,-0.2,-0.5
"12",-1,-0.8,-1,-0.5,-0.825
"13",0.25,0,-0.2,0.2,0.0625
"14",-1,-0.3,-1,-0.7,-0.75
"15",-0.25,-0.5,-0.8,-0.8,-0.5875
"16",0,0,0,0,0
"17",1,0.7,1,0.5,0.8
"18",-1,0,-0.8,-0.5,-0.575
"19",-1,-0.3,0,-0.8,-0.525
"20",0,0.5,-0.4,0,0.025
"21",0,0,0,0,0
"22",0.25,0.5,0.4,0.4,0.3875
"23",-0.5,0.9,-1,-0.9,-0.375
"24",0.25,0.3,0,0.3,0.2125
"25",-0.25,0.5,-0.6,-0.3,-0.1625
"26",0,0,0,0,0
"27",0,0.4,0,-0.2,0.05
"28",0,0.5,-0.6,-0.3,-0.1
"29",0,0.2,-0.4,-0.1,-0.075
"30",0,0.7,0.3,0.3,0.325
"31",0,0,0,0,0
"32",0,0,0,0,0
"33",-0.75,-0.3,-0.2,-0.6,-0.4625
"34",0.25,0.8,0.8,0,0.4625
"35",-1,-0.6,-1,0.6,-0.5
"36",-0.25,0.4,-0.4,0,-0.0625
"37",0,0,-0.4,-0.2,-0.15
"38",0.25,0.3,0.8,0.1,0.3625
"39",-0.25,0,0,0,-0.0625
"40",-0.5,-0.3,-0.8,-0.7,-0.575
"41",-0.25,0.5,-0.7,-0.4,-0.2125
"42",0,0,0,0,0
"43",0,0,-0.6,-0.3,-0.225
"44",-0.25,0.3,-0.7,-0.6,-0.3125
"45",0,0,0,0,0
"46",-0.25,0.2,-0.9,-0.8,-0.4375
"47",0,0.1,-0.9,-0.5,-0.325
"48",0,0,-1,-0.7,-0.425
"49",-1,-0.5,-1,-1,-0.875
"50",0,0,-0.4,0,-0.1
"51",-1,-0.6,-1,-0.9,-0.875
"52",-0.75,-0.5,-1,-1,-0.8125
"53",-1,0,-1,-1,-0.75
"54",0.25,0,1,0.8,0.5125
"55",-0.5,-0.5,-0.4,-0.5,-0.475
"56",0,0,0,0,0
"57",1,0.3,0.4,1,0.675
"58",-0.25,-0.5,-1,-0.6,-0.5875
"59",0,0,0,0,0
"60",-0.25,0,0,0,-0.0625
"61",-0.5,0,-0.4,-0.2,-0.275
"62",-0.5,0,-0.5,-0.2,-0.3
"63",1,0.5,0.8,0.3,0.65
"64",0,0.4,-0.5,-0.3,-0.1
"65",0.5,0.6,1,0.5,0.65
"66",0,0.2,-0.4,0.4,0.05
"67",0,0,-0.4,-0.4,-0.2
"68",-0.75,-0.4,-0.7,0,-0.4625
"69",0,0.2,-1,0,-0.2
"70",0,0,-1,0,-0.25
"71",-0.25,0.5,-0.3,0,-0.0125
"72",0,0.1,-0.7,-0.4,-0.25
"73",0,0,1,0,0.25
"74",0,-0.4,-1,-0.8,-0.55
"75",0,0,0,0,0
"76",-0.25,0,-0.4,-0.2,-0.2125
"77",-0.25,-0.5,-0.4,0.1,-0.2625
"78",0.5,0.2,0,0.2,0.225
"79",0,0,0,0,0
"80",0.5,0.5,1,0.3,0.575
"81",0.25,0,-0.2,-0.3,-0.0625
"82",-0.25,0,-0.4,-0.5,-0.2875
"83",0.25,0,-0.4,0.2,0.0125
